[2023-06-01T15:06:30.168] [INFO] default - [request path]:/create/user, [request time]:2023-06-01 15:06:30, [ip]:::ffff:127.0.0.1
[2023-06-01T15:06:31.147] [INFO] default - [request path]:/create/user, [request time]:2023-06-01 15:06:31, [ip]:::ffff:127.0.0.1
[2023-06-01T15:06:31.969] [INFO] default - [request path]:/create/user, [request time]:2023-06-01 15:06:31, [ip]:::ffff:127.0.0.1
[2023-06-01T15:06:53.821] [INFO] default - [request path]:/create/user, [request time]:2023-06-01 15:06:53, [ip]:::ffff:127.0.0.1
[2023-06-01T15:07:45.714] [INFO] default - [request path]:/create/user, [request time]:2023-06-01 15:07:45, [ip]:::ffff:127.0.0.1
[2023-06-01T15:07:59.860] [INFO] default - [request path]:/create/user, [request time]:2023-06-01 15:07:59, [ip]:::ffff:127.0.0.1
[2023-06-01T15:27:03.682] [INFO] default - [request path]:/logout, [request time]:2023-06-01 15:27:03, [ip]:::ffff:127.0.0.1
[2023-06-01T15:27:14.346] [INFO] default - [request path]:/logout, [request time]:2023-06-01 15:27:14, [ip]:::ffff:127.0.0.1
[2023-06-01T15:27:44.715] [INFO] default - [request path]:/logout, [request time]:2023-06-01 15:27:44, [ip]:::ffff:127.0.0.1
[2023-06-01T15:28:00.639] [INFO] default - [request path]:/logout, [request time]:2023-06-01 15:28:00, [ip]:::ffff:127.0.0.1
[2023-06-01T15:31:21.087] [INFO] default - [request path]:/logout, [request time]:2023-06-01 15:31:21, [ip]:::ffff:127.0.0.1
[2023-06-01T15:31:38.098] [INFO] default - [request path]:/logout, [request time]:2023-06-01 15:31:38, [ip]:::ffff:127.0.0.1
[2023-06-01T15:31:53.663] [INFO] default - [request path]:/logout, [request time]:2023-06-01 15:31:53, [ip]:::ffff:127.0.0.1
[2023-06-01T15:32:05.466] [INFO] default - [request path]:/logout, [request time]:2023-06-01 15:32:05, [ip]:::ffff:127.0.0.1
[2023-06-01T15:32:07.213] [INFO] default - [request path]:/logout, [request time]:2023-06-01 15:32:07, [ip]:::ffff:127.0.0.1
[2023-06-01T15:32:10.771] [INFO] default - [request path]:/create/user, [request time]:2023-06-01 15:32:10, [ip]:::ffff:127.0.0.1
